Date,Location,Temperature F Max,Temperature F Avg,Temperature F Min,Dew Point F Max,Dew Point F Avg,Dew Point F Min,Humidity % Max,Humidity % Avg,Humidity % Min,Wind Speed mph Max,Wind Speed mph Avg,Wind Speed mph Min,Pressure Hg Max,Pressure Hg Avg,Pressure Hg Min,Precipitation In
2018-1-24,Chicago,32.0,30.2,28.0,27.0,22.8,19.0,86.0,73.6,64.0,12.0,5.9,0.0,29.7,29.6,29.5,0.0
2018-1-25,Chicago,45.0,33.9,27.0,32.0,26.4,21.0,82.0,74.5,57.0,17.0,6.5,0.0,29.8,29.7,29.6,0.0
2018-1-26,Chicago,54.0,46.4,39.0,32.0,29.4,25.0,74.0,54.2,33.0,26.0,13.1,7.0,29.6,29.5,29.4,0.0
2018-1-27,Chicago,52.0,46.3,34.0,41.0,28.6,14.0,76.0,52.5,22.0,23.0,11.7,0.0,29.6,29.5,29.4,0.0
2018-1-28,Chicago,41.0,33.6,25.0,34.0,27.6,23.0,93.0,78.5,65.0,20.0,7.4,0.0,29.7,29.7,29.6,0.0
2018-1-29,Chicago,33.0,26.5,0.0,27.0,18.6,0.0,86.0,67.9,0.0,31.0,16.1,6.0,29.8,29.8,29.7,0.0
2018-1-30,Chicago,32.0,24.7,14.0,16.0,11.6,9.0,86.0,59.1,41.0,20.0,9.6,5.0,29.9,29.7,29.4,0.0
2018-1-31,Chicago,45.0,37.8,32.0,28.0,21.8,15.0,65.0,53.1,43.0,18.0,12.2,5.0,29.4,29.2,29.1,0.0
2018-10-1,Chicago,77.0,65.9,59.0,64.0,60.4,57.0,100.0,83.9,61.0,12.0,6.0,0.0,29.6,29.5,29.4,0.0
2018-10-2,Chicago,77.0,65.1,59.0,68.0,62.2,57.0,100.0,90.9,61.0,13.0,4.9,0.0,29.5,29.4,29.4,0.0
2018-10-3,Chicago,88.0,72.9,60.0,68.0,62.1,57.0,100.0,72.6,43.0,17.0,9.0,0.0,29.4,29.3,29.1,0.0
2018-10-4,Chicago,81.0,65.3,55.0,71.0,55.7,43.0,89.0,71.3,59.0,25.0,13.8,7.0,29.6,29.4,29.1,0.0
2018-10-5,Chicago,68.0,60.1,54.0,68.0,56.2,43.0,100.0,87.6,63.0,14.0,6.0,0.0,29.5,29.4,29.3,0.0
2018-10-6,Chicago,73.0,65.6,59.0,72.0,63.9,54.0,100.0,94.3,77.0,20.0,8.4,0.0,29.5,29.4,29.3,0.0
2018-10-7,Chicago,66.0,61.5,59.0,66.0,60.2,54.0,100.0,95.0,82.0,13.0,7.4,0.0,29.6,29.5,29.5,0.0
2018-10-8,Chicago,86.0,73.1,66.0,70.0,66.9,59.0,100.0,83.2,42.0,14.0,7.5,0.0,29.5,29.4,29.4,0.0
